"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 11:02:05 CST 2019","Mon Jun 24 11:02:06 CST 2019","195","","test_reco","","test_reco","TestReco.test_reco[case_data1]","TestReco.test_reco[case_data1]","

        :param case_data: 测试用例
        :return:
        "
"passed","Mon Jun 24 11:02:05 CST 2019","Mon Jun 24 11:02:05 CST 2019","213","","test_reco","","test_reco","TestReco.test_reco[case_data0]","TestReco.test_reco[case_data0]","

        :param case_data: 测试用例
        :return:
        "
"broken","Mon May 25 14:28:08 CST 2020","Mon May 25 14:28:08 CST 2020","263","aff.testcase.blogpost","test_reco","TestReco","","","test_reco[case_data0]","

        :param case_data: 测试用例
        :return:
        "
